TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SEASON,TOP3_PTS,TOP3_STL,TOP3_BLK,TOP3_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,made_playoffs,FG3A_RATE,won_championship
Phoenix Suns,82,45,37,0.549,3453,7388,0.467,1001,2674,0.374,1412,1781,0.793,3628,2235,1110.0,585,432,9319,170.0,2022-23,870.0,59.333333333333336,45.666666666666664,0.4949999999999999,114.5,112.3,2.2,98.83,1,0.3619382782891175,0
Portland Trail Blazers,82,33,49,0.402,3317,7001,0.474,1056,2893,0.365,1609,2021,0.796,3325,1981,1185.0,553,376,9299,-329.0,2022-23,1487.3333333333333,47.666666666666664,28.333333333333332,0.4616666666666666,114.0,118.0,-4.0,99.25,0,0.4132266819025853,0
Sacramento Kings,82,48,34,0.585,3573,7232,0.494,1128,3060,0.369,1624,2055,0.79,3481,2237,1106.0,574,275,9898,217.0,2022-23,1522.0,68.33333333333333,24.0,0.5333333333333333,118.6,116.0,2.6,100.99,1,0.4231194690265487,0
San Antonio Spurs,82,22,60,0.268,3533,7593,0.465,911,2640,0.345,1292,1739,0.743,3584,2232,1253.0,572,322,9269,-823.0,2022-23,977.6666666666666,56.0,9.0,0.4503333333333333,109.7,119.6,-9.9,102.07,0,0.3476886606084551,0
Toronto Raptors,82,41,41,0.5,3434,7489,0.459,880,2626,0.335,1506,1922,0.784,3528,1961,956.0,772,424,9254,121.0,2022-23,1411.3333333333333,90.33333333333331,45.0,0.443,114.6,113.1,1.5,97.85,0,0.3506476165042061,0
Utah Jazz,82,37,45,0.451,3485,7365,0.473,1094,3099,0.353,1536,1955,0.786,3762,2129,1259.0,500,429,9600,-77.0,2022-23,1269.6666666666667,45.0,29.333333333333332,0.4806666666666666,115.3,116.0,-0.7,101.02,0,0.4207739307535642,0
Washington Wizards,82,35,47,0.427,3456,7127,0.485,925,2601,0.356,1442,1838,0.785,3578,2083,1158.0,561,424,9279,-99.0,2022-23,1227.3333333333333,42.0,46.0,0.481,113.7,114.9,-1.2,99.16,0,0.3649501894205135,0
Atlanta Hawks,82,36,46,0.439,3529,7584,0.465,1125,3092,0.364,1520,1906,0.797,3663,2180,1110.0,615,369,9703,-179.0,2023-24,1316.3333333333333,86.0,20.333333333333332,0.4343333333333333,116.4,118.4,-2.0,100.84,0,0.4077004219409282,0
Boston Celtics,82,64,18,0.78,3601,7396,0.487,1351,3482,0.388,1334,1654,0.807,3799,2207,979.0,557,538,9887,930.0,2023-24,1568.0,77.33333333333333,55.666666666666664,0.477,122.2,110.6,11.7,97.98,1,0.4707950243374797,0
Brooklyn Nets,82,32,50,0.39,3334,7307,0.456,1089,3010,0.362,1293,1711,0.756,3613,2102,1076.0,556,424,9050,-237.0,2023-24,1189.6666666666667,63.333333333333336,64.33333333333333,0.5,112.4,115.4,-2.9,97.56,0,0.4119337621458875,0
Charlotte Hornets,82,21,61,0.256,3281,7133,0.46,989,2788,0.355,1189,1512,0.786,3303,2033,1129.0,562,371,8740,-840.0,2023-24,1170.6666666666667,58.333333333333336,38.0,0.4526666666666667,108.6,119.2,-10.6,97.81,0,0.3908593859526146,0
Chicago Bulls,82,39,43,0.476,3448,7339,0.47,941,2630,0.358,1369,1731,0.791,3593,2048,1004.0,638,394,9206,-118.0,2023-24,1592.0,64.33333333333333,41.0,0.4703333333333333,114.0,115.7,-1.7,96.94,0,0.3583594495162828,0
Cleveland Cavaliers,82,48,34,0.585,3425,7147,0.479,1108,3016,0.367,1278,1671,0.765,3549,2299,1112.0,605,380,9236,198.0,2023-24,1025.3333333333333,64.33333333333333,48.0,0.4909999999999999,114.7,112.1,2.5,97.62,1,0.4219952427591996,0
Dallas Mavericks,82,50,32,0.61,3535,7352,0.481,1197,3242,0.369,1397,1842,0.758,3521,2106,1027.0,563,406,9664,181.0,2023-24,1482.6666666666667,71.0,34.333333333333336,0.4416666666666666,117.0,114.9,2.1,100.6,1,0.4409684439608269,0
Denver Nuggets,82,57,25,0.695,3610,7279,0.496,958,2560,0.374,1240,1628,0.762,3643,2415,1036.0,585,456,9418,431.0,2023-24,1402.3333333333333,82.66666666666667,54.333333333333336,0.509,117.8,112.3,5.5,97.43,1,0.3516966616293447,0
Detroit Pistons,82,14,68,0.171,3353,7236,0.463,906,2602,0.348,1398,1780,0.785,3553,2088,1248.0,531,384,9010,-747.0,2023-24,1143.6666666666667,48.666666666666664,36.666666666666664,0.4989999999999999,109.0,118.0,-9.0,100.45,0,0.3595909342177998,0
Golden State Warriors,82,46,36,0.561,3582,7515,0.477,1211,3191,0.38,1282,1644,0.78,3830,2402,1174.0,572,377,9657,214.0,2023-24,1337.6666666666667,55.0,25.666666666666668,0.4453333333333333,116.9,114.5,2.4,99.91,0,0.4246174318030605,0
Houston Rockets,82,41,41,0.5,3425,7459,0.459,1043,2964,0.352,1482,1916,0.773,3727,2035,1045.0,639,375,9375,92.0,2023-24,1308.0,73.0,49.333333333333336,0.431,113.7,112.8,0.9,99.59,0,0.397372301917147,0
Indiana Pacers,82,47,35,0.573,3855,7599,0.507,1082,2891,0.374,1318,1685,0.782,3405,2522,1059.0,631,481,10110,250.0,2023-24,1479.6666666666667,61.666666666666664,72.33333333333333,0.5123333333333333,120.5,117.6,2.9,102.16,1,0.3804447953678115,0
LA Clippers,82,51,31,0.622,3473,7108,0.489,1036,2719,0.381,1499,1817,0.825,3523,2097,1078.0,640,413,9481,269.0,2023-24,1492.0,100.33333333333331,51.0,0.4746666666666666,117.9,114.6,3.4,97.93,1,0.3825267304445695,0
Los Angeles Lakers,82,47,35,0.573,3580,7177,0.499,969,2572,0.377,1550,1983,0.782,3535,2340,1146.0,605,453,9679,49.0,2023-24,1666.0,82.0,80.33333333333333,0.5273333333333333,115.4,114.8,0.6,101.38,1,0.3583670057126933,0
Memphis Grizzlies,82,27,55,0.329,3145,7229,0.435,1071,3097,0.346,1316,1722,0.764,3494,2025,1236.0,673,501,8677,-574.0,2023-24,1045.6666666666667,55.333333333333336,60.666666666666664,0.4476666666666666,106.8,113.7,-6.9,98.68,0,0.4284133351777562,0
Miami Heat,82,46,36,0.561,3266,7022,0.465,1022,2765,0.37,1478,1806,0.818,3468,2116,1038.0,617,280,9032,144.0,2023-24,1167.3333333333333,79.0,34.333333333333336,0.503,113.3,111.5,1.8,96.88,1,0.3937624608373682,0
Milwaukee Bucks,82,49,33,0.598,3538,7258,0.487,1163,3122,0.373,1517,1960,0.774,3622,2176,1059.0,558,413,9756,215.0,2023-24,1662.3333333333333,67.33333333333333,95.33333333333331,0.5066666666666667,117.6,115.0,2.6,100.51,1,0.4301460457426288,0
Minnesota Timberwolves,82,56,26,0.683,3383,6974,0.485,1037,2681,0.387,1461,1881,0.777,3577,2184,1162.0,647,497,9264,529.0,2023-24,1326.3333333333333,80.33333333333333,73.66666666666667,0.5263333333333334,114.6,108.4,6.3,97.79,1,0.3844278749641526,0
New Orleans Pelicans,82,49,33,0.598,3484,7165,0.486,1023,2673,0.383,1445,1873,0.771,3605,2210,1067.0,684,378,9436,362.0,2023-24,1253.3333333333333,81.0,50.0,0.509,116.5,111.9,4.6,98.7,1,0.3730635031402651,0
New York Knicks,82,50,32,0.61,3385,7272,0.465,1083,2936,0.369,1396,1789,0.78,3704,1998,1085.0,612,336,9249,376.0,2023-24,1410.6666666666667,84.0,24.0,0.4519999999999999,117.3,112.4,4.9,95.96,1,0.4037403740374037,0
Oklahoma City Thunder,82,57,25,0.695,3653,7324,0.499,1090,2805,0.389,1451,1759,0.825,3447,2223,1039.0,694,538,9847,608.0,2023-24,1490.3333333333333,91.33333333333331,101.33333333333331,0.501,118.3,111.0,7.3,100.85,1,0.3829874385581649,0
Orlando Magic,82,47,35,0.573,3318,6964,0.476,903,2568,0.352,1519,2002,0.759,3469,2023,1206.0,669,423,9058,166.0,2023-24,1389.3333333333333,84.33333333333333,40.666666666666664,0.4693333333333333,112.9,110.8,2.2,97.37,1,0.3687535898908673,0
Philadelphia 76ers,82,47,35,0.573,3404,7331,0.464,992,2733,0.363,1597,1934,0.826,3522,2041,984.0,694,492,9397,250.0,2023-24,1344.3333333333333,69.66666666666667,40.333333333333336,0.4576666666666666,116.2,113.0,3.1,98.17,1,0.3728004365025235,0
Phoenix Suns,82,49,33,0.598,3482,7063,0.493,1020,2671,0.382,1548,1915,0.808,3614,2218,1221.0,610,492,9532,251.0,2023-24,1629.0,66.33333333333333,54.666666666666664,0.5046666666666667,116.8,113.7,3.1,99.0,1,0.3781679173155883,0
Portland Trail Blazers,82,21,61,0.256,3227,7356,0.439,939,2723,0.345,1329,1680,0.791,3505,1894,1249.0,627,354,8722,-740.0,2023-24,973.3333333333334,49.666666666666664,29.666666666666668,0.4686666666666667,107.6,116.6,-9.0,97.88,0,0.3701740076128331,0
Sacramento Kings,82,46,36,0.561,3553,7455,0.477,1178,3219,0.366,1274,1710,0.745,3607,2324,1078.0,625,342,9558,143.0,2023-24,1577.0,101.0,46.0,0.5043333333333333,116.2,114.4,1.8,99.46,0,0.4317907444668008,0
San Antonio Spurs,82,22,60,0.268,3438,7436,0.462,1036,2983,0.347,1280,1637,0.782,3627,2449,1242.0,584,520,9192,-532.0,2023-24,985.0,71.0,24.0,0.4716666666666667,109.3,115.6,-6.4,101.8,0,0.4011565357719204,0
Toronto Raptors,82,25,57,0.305,3466,7356,0.471,942,2712,0.347,1339,1772,0.756,3498,2335,1147.0,634,388,9213,-528.0,2023-24,1107.0,67.33333333333333,36.0,0.445,111.8,118.1,-6.3,99.91,0,0.3686786296900489,0
Utah Jazz,82,31,51,0.378,3443,7371,0.467,1060,2993,0.354,1538,1853,0.83,3727,2232,1285.0,537,458,9484,-401.0,2023-24,1153.0,46.0,28.666666666666668,0.47,114.5,119.6,-5.1,100.26,0,0.4060507393840727,0
Washington Wizards,82,15,67,0.183,3523,7493,0.47,1015,2915,0.348,1266,1657,0.764,3368,2290,1147.0,623,415,9327,-762.0,2023-24,1337.0,60.666666666666664,36.666666666666664,0.4606666666666667,110.2,118.9,-8.7,103.07,0,0.3890297611103697,0
